Name,ISO3,ID,Year,Age,Pop,PAR,incidence_rate_all_age_rmean,incidence_rate_all_age_LCI,incidence_rate_all_age_median,incidence_rate_all_age_UCI
Edo,NGA,10312855,2000,all_age,2909109.151,2909109.151,0.365933857,0.174308998,0.367828407,0.592082675
Kano,NGA,10312921,2000,all_age,7907779.089,7907779.089,0.44742776,0.180338684,0.438287276,0.756068146
Bayelsa,NGA,10312967,2000,all_age,2164660.016,2164660.016,0.43233941,0.183667537,0.431327576,0.698536102
Zamfara,NGA,10312979,2000,all_age,3091930.798,3091930.798,0.430831473,0.149502498,0.41300323,0.763515429
Ebonyi,NGA,10313027,2000,all_age,1894038.105,1894038.105,0.453928202,0.240274297,0.450979825,0.691007469
Ogun,NGA,10313043,2000,all_age,2883707.965,2883707.965,0.315962433,0.193891421,0.315561201,0.486785676
Federal Capital Territory,NGA,10313058,2000,all_age,755604.7706,755604.7706,0.481132916,0.250321766,0.484518852,0.665450856
Abia,NGA,10313078,2000,all_age,2396194.357,2396194.357,0.486862312,0.309754535,0.482344808,0.692595214
Osun,NGA,10313126,2000,all_age,2986967.778,2986967.778,0.484187955,0.299564563,0.470079741,0.711160284
Anambra,NGA,10313334,2000,all_age,3693031.535,3693031.535,0.378722934,0.211443817,0.370547127,0.578523971
Delta,NGA,10313483,2000,all_age,3603802.135,3603802.135,0.367616652,0.148897505,0.364768256,0.599490973
Oyo,NGA,10313522,2000,all_age,4993953.292,4993953.292,0.485466156,0.301045681,0.480434726,0.674059977
Plateau,NGA,10313750,2000,all_age,2054013.961,2054013.961,0.448135705,0.251202888,0.433992703,0.681902417
Akwa Ibom,NGA,10313817,2000,all_age,3705029.311,3705029.311,0.506002252,0.323908034,0.497045461,0.718268585
Lagos,NGA,10313859,2000,all_age,8505596.509,8505596.509,0.110810807,0.054684382,0.103842004,0.200803085
Gombe,NGA,10313923,2000,all_age,2119868.555,2119868.555,0.462880096,0.216940109,0.439954287,0.767037126
Kwara,NGA,10314245,2000,all_age,2046111.97,2046111.97,0.509029197,0.260579007,0.511512677,0.731833138
Ekiti,NGA,10314343,2000,all_age,2583740.03,2583740.03,0.478736014,0.228204651,0.477730048,0.713726554
Yobe,NGA,10314496,2000,all_age,1966432.583,1966432.583,0.346600204,0.130364884,0.327876879,0.672574155
Kebbi,NGA,10314662,2000,all_age,2854884.08,2854884.08,0.401276009,0.171196459,0.391621686,0.662917447
Cross River,NGA,10314810,2000,all_age,2751971.413,2751971.413,0.462165243,0.275155834,0.457980478,0.680102446
Nasarawa,NGA,10314878,2000,all_age,1249061.235,1249061.235,0.489058388,0.266612342,0.485999622,0.723911994
Katsina,NGA,10314910,2000,all_age,5080917.663,5080917.663,0.447213359,0.189411362,0.440590814,0.764189256
Benue,NGA,10314912,2000,all_age,3441422.343,3441422.343,0.454171343,0.223281184,0.452462948,0.694042806
Kaduna,NGA,10315174,2000,all_age,5198310.57,5198310.57,0.582158796,0.390150344,0.578164357,0.795560836
Kogi,NGA,10315316,2000,all_age,2964761.383,2964761.383,0.455007165,0.227063047,0.458310723,0.710759948
Imo,NGA,10315365,2000,all_age,3115508.705,3115508.705,0.487289656,0.311607157,0.482531528,0.6886273
Sokoto,NGA,10315512,2000,all_age,3012411.998,3012411.998,0.307570736,0.070056845,0.291961838,0.604342346
Enugu,NGA,10315516,2000,all_age,2901644.314,2901644.314,0.286405438,0.13684531,0.287483268,0.452398617
Niger,NGA,10315577,2000,all_age,3080366.071,3080366.071,0.508841114,0.28425322,0.512731781,0.744614951
Bauchi,NGA,10315631,2000,all_age,4182291.856,4182291.856,0.476451966,0.256532351,0.469232927,0.753203965
Jigawa,NGA,10315654,2000,all_age,3949215.108,3949215.108,0.414745029,0.172348208,0.402996091,0.748198679
Rivers,NGA,10315660,2000,all_age,5422129.993,5422129.993,0.446445168,0.257340174,0.439960895,0.656387156
Taraba,NGA,10315664,2000,all_age,1898815.812,1898815.812,0.381709678,0.209148714,0.378783359,0.613437642
Ondo,NGA,10315731,2000,all_age,2634733.937,2634733.937,0.434866275,0.241548487,0.420949598,0.674648638
Adamawa,NGA,10315851,2000,all_age,2885494.947,2885494.947,0.382083057,0.19355515,0.372655768,0.63459318
Borno,NGA,10316414,2000,all_age,3728722.552,3728722.552,0.302954398,0.136098074,0.282742238,0.554482853
Edo,NGA,10312855,2001,all_age,2991099.158,2991099.158,0.355788656,0.166437135,0.345499748,0.611772606
Kano,NGA,10312921,2001,all_age,8196407.933,8196407.933,0.435271736,0.154198504,0.42352972,0.777397718
Bayelsa,NGA,10312967,2001,all_age,2136866.506,2136866.506,0.422122512,0.183622384,0.41927046,0.694700456
Zamfara,NGA,10312979,2001,all_age,3164899.572,3164899.572,0.418483178,0.137700641,0.406064648,0.753020876
Ebonyi,NGA,10313027,2001,all_age,1955159.336,1955159.336,0.437707208,0.242389508,0.438396963,0.643469369
Ogun,NGA,10313043,2001,all_age,3018898.958,3018898.958,0.303181752,0.189826776,0.299424615,0.445965132
Federal Capital Territory,NGA,10313058,2001,all_age,838137.8729,838137.8729,0.482725258,0.276830957,0.482275862,0.670054844
Abia,NGA,10313078,2001,all_age,2481865.093,2481865.093,0.485168357,0.309947372,0.482152329,0.689826516
Osun,NGA,10313126,2001,all_age,3091307.888,3091307.888,0.459219467,0.264727773,0.447008646,0.681304791
Anambra,NGA,10313334,2001,all_age,3814277.894,3814277.894,0.377332933,0.228398204,0.369841591,0.581206744
Delta,NGA,10313483,2001,all_age,3713806.112,3713806.112,0.362515766,0.144106365,0.360092771,0.586308672
Oyo,NGA,10313522,2001,all_age,5167866.262,5167866.262,0.45824098,0.274182707,0.450849492,0.641819842
Plateau,NGA,10313750,2001,all_age,2201611.693,2201611.693,0.439006273,0.239032712,0.436875842,0.662677969
Akwa Ibom,NGA,10313817,2001,all_age,3816189.108,3816189.108,0.507126169,0.319394345,0.497329705,0.725363335
Lagos,NGA,10313859,2001,all_age,8759268.61,8759268.61,0.111391474,0.04942346,0.104828308,0.19555732
Gombe,NGA,10313923,2001,all_age,2181350.363,2181350.363,0.466881647,0.216894053,0.453100148,0.75478054
Kwara,NGA,10314245,2001,all_age,2103448.536,2103448.536,0.493986161,0.255503911,0.493913676,0.729036435
Ekiti,NGA,10314343,2001,all_age,2589510.178,2589510.178,0.45911935,0.217286576,0.45377253,0.70047346
Yobe,NGA,10314496,2001,all_age,2045171.505,2045171.505,0.342095601,0.109635588,0.32765054,0.675802958
Kebbi,NGA,10314662,2001,all_age,2952530.64,2952530.64,0.401117843,0.151701278,0.407189068,0.689455772
Cross River,NGA,10314810,2001,all_age,2832634.66,2832634.66,0.462555184,0.277260531,0.454703941,0.668163723
Nasarawa,NGA,10314878,2001,all_age,1333942.802,1333942.802,0.486780631,0.280720204,0.479269375,0.715171692
Katsina,NGA,10314910,2001,all_age,5249606.469,5249606.469,0.434977211,0.177551561,0.425461442,0.76712587
Benue,NGA,10314912,2001,all_age,3564767.614,3564767.614,0.442852411,0.208956357,0.44498455,0.696806839
Kaduna,NGA,10315174,2001,all_age,5370209.868,5370209.868,0.573695227,0.34614854,0.566870167,0.794027892
