year,adm1,pop,pop_u5
2014,Abia,3608314.211,721662.8447
2015,Abia,3703547.406,740709.4775
2016,Abia,3801293.984,760258.7949
2017,Abia,3901620.422,780324.084
2018,Abia,4004594.719,800918.9375
2019,Abia,4110286.766,822057.3594
2020,Abia,4218768.297,843753.6582
2021,Abia,4243233.475,848646.6949
2014,Adamawa,4128980.68,825796.1367
2015,Adamawa,4237955.625,847591.124
2016,Adamawa,4349806.688,869961.334
2017,Adamawa,4464609.877,892921.9736
2018,Adamawa,4582442.953,916488.5908
2019,Adamawa,4703385.969,940677.1963
2020,Adamawa,4827521.055,965504.2129
2021,Adamawa,4881061.938,976212.3875
2014,Akwa Ibom,5415205.156,1083041.032
2015,Akwa Ibom,5558127.047,1111625.41
2016,Akwa Ibom,5704821.023,1140964.2
2017,Akwa Ibom,5855386.616,1171077.323
2018,Akwa Ibom,6009926.039,1201985.202
2019,Akwa Ibom,6168544.18,1233708.84
2020,Akwa Ibom,6331348.695,1266269.752
2021,Akwa Ibom,6443191.253,1288638.251
2014,Anambra,5290048.375,1058009.684
2015,Anambra,5429667.055,1085933.416
2016,Anambra,5572970.609,1114594.121
2017,Anambra,5720056.354,1144011.271
2018,Anambra,5871024.125,1174204.832
2019,Anambra,6025976.297,1205195.26
2020,Anambra,6185018.063,1237003.621
2021,Anambra,6321894.967,1264378.993
2014,Bauchi,6459865.734,1291973.133
2015,Bauchi,6630359.016,1326071.803
2016,Bauchi,6805352.078,1361070.428
2017,Bauchi,6984963.699,1396992.74
2018,Bauchi,7169315.766,1433863.146
2019,Bauchi,7358533.406,1471706.693
2020,Bauchi,7552744.938,1510548.982
2021,Bauchi,7683291.211,1536658.242
2014,Bayelsa,2219983.656,443996.7266
2015,Bayelsa,2278575.031,455715
2016,Bayelsa,2338712.766,467742.5508
2017,Bayelsa,2400437.66,480087.5332
2018,Bayelsa,2463791.664,492758.332
2019,Bayelsa,2528817.742,505763.5605
2020,Bayelsa,2595560.102,519112.0137
2021,Bayelsa,2617167.08,523433.416
2014,Benue,5563409,1112681.791
2015,Benue,5710242.328,1142048.473
2016,Benue,5860951.023,1172190.213
2017,Benue,6015637.345,1203127.482
2018,Benue,6174406.211,1234881.254
2019,Benue,6337365.422,1267473.096
2020,Benue,6504625.625,1300925.111
2021,Benue,6627034.08,1325406.816
2014,Borno,5734139.602,1146827.93
