adm1,date,name,value
Abia,2014/1/1,ipt1_cov,0.227848101
Abia,2014/1/1,ipt2_cov,0.153481013
Abia,2014/2/1,ipt1_cov,0.165137615
Abia,2014/2/1,ipt2_cov,0.087155963
Abia,2014/3/1,ipt1_cov,0.189401374
Abia,2014/3/1,ipt2_cov,0.185475957
Abia,2014/4/1,ipt1_cov,0.313543599
Abia,2014/4/1,ipt2_cov,0.203153989
Abia,2014/5/1,ipt1_cov,0.216945494
Abia,2014/5/1,ipt2_cov,0.135456017
Abia,2014/6/1,ipt1_cov,0.254385965
Abia,2014/6/1,ipt2_cov,0.200558214
Abia,2014/7/1,ipt1_cov,0.236460348
Abia,2014/7/1,ipt2_cov,0.198742747
Abia,2014/8/1,ipt1_cov,0.197607656
Abia,2014/8/1,ipt2_cov,0.179904306
Abia,2014/9/1,ipt1_cov,0.232294618
Abia,2014/9/1,ipt2_cov,0.16713881
Abia,2014/10/1,ipt1_cov,0.259205426
Abia,2014/10/1,ipt2_cov,0.220445736
Abia,2015/3/1,ipt1_cov,0.184801382
Abia,2015/3/1,ipt2_cov,0.153713299
Abia,2015/4/1,ipt1_cov,0.135294118
Abia,2015/4/1,ipt2_cov,0.109803922
Abia,2015/5/1,ipt1_cov,0.226168224
Abia,2015/5/1,ipt2_cov,0.21682243
Abia,2015/6/1,ipt1_cov,0.201058201
Abia,2015/6/1,ipt2_cov,0.154761905
Abia,2015/7/1,ipt1_cov,0.212730318
Abia,2015/7/1,ipt2_cov,0.214963707
Abia,2015/8/1,ipt1_cov,0.167698368
Abia,2015/8/1,ipt2_cov,0.122115926
Abia,2015/9/1,ipt1_cov,0.161865569
Abia,2015/9/1,ipt2_cov,0.117283951
Abia,2015/10/1,ipt1_cov,0.202088452
Abia,2015/10/1,ipt2_cov,0.140663391
Abia,2015/11/1,ipt1_cov,0.191689008
Abia,2015/11/1,ipt2_cov,0.164879357
Abia,2015/12/1,ipt1_cov,0.228031954
Abia,2015/12/1,ipt2_cov,0.175018155
Abia,2016/1/1,ipt1_cov,0.189720812
Abia,2016/1/1,ipt2_cov,0.148477157
Abia,2016/2/1,ipt1_cov,0.196123147
Abia,2016/2/1,ipt2_cov,0.181870011
Abia,2016/3/1,ipt1_cov,0.183512545
Abia,2016/3/1,ipt2_cov,0.171326165
Abia,2016/4/1,ipt1_cov,0.242608696
Abia,2016/4/1,ipt2_cov,0.146086957
Abia,2016/5/1,ipt1_cov,0.238628873
Abia,2016/5/1,ipt2_cov,0.180619644
Abia,2016/6/1,ipt1_cov,0.251592357
Abia,2016/6/1,ipt2_cov,0.203184713
Abia,2016/7/1,ipt1_cov,0.252532073
Abia,2016/7/1,ipt2_cov,0.166103984
Abia,2016/8/1,ipt1_cov,0.25163827
Abia,2016/8/1,ipt2_cov,0.175622543
Abia,2016/9/1,ipt1_cov,0.196127946
Abia,2016/9/1,ipt2_cov,0.187710438
Abia,2016/10/1,ipt1_cov,0.222752586
Abia,2016/10/1,ipt2_cov,0.208432776
Abia,2016/11/1,ipt1_cov,0.183699871
Abia,2016/11/1,ipt2_cov,0.143596378
Abia,2016/12/1,ipt1_cov,0.185036203
Abia,2016/12/1,ipt2_cov,0.142397426
Abia,2017/1/1,ipt1_cov,0.199424342
Abia,2017/1/1,ipt2_cov,0.152138158
Abia,2017/2/1,ipt1_cov,0.191793453
Abia,2017/2/1,ipt2_cov,0.147994467
Abia,2017/3/1,ipt1_cov,0.194483403
Abia,2017/3/1,ipt2_cov,0.145862553
Abia,2017/4/1,ipt1_cov,0.194765204
Abia,2017/4/1,ipt2_cov,0.183987683
Abia,2017/5/1,ipt1_cov,0.198209719
Abia,2017/5/1,ipt2_cov,0.158567775
Abia,2017/6/1,ipt1_cov,0.340892729
Abia,2017/6/1,ipt2_cov,0.217782577
Abia,2017/7/1,ipt1_cov,0.243076923
Abia,2017/7/1,ipt2_cov,0.180769231
Abia,2017/8/1,ipt1_cov,0.235206365
Abia,2017/8/1,ipt2_cov,0.178020885
Abia,2017/9/1,ipt1_cov,0.208459215
Abia,2017/9/1,ipt2_cov,0.16163142
Abia,2017/10/1,ipt1_cov,0.209170531
Abia,2017/10/1,ipt2_cov,0.156620299
Abia,2017/11/1,ipt1_cov,0.297242498
Abia,2017/11/1,ipt2_cov,0.179237632
Abia,2017/12/1,ipt1_cov,0.230249831
Abia,2017/12/1,ipt2_cov,0.209993248
Abia,2018/1/1,ipt1_cov,0.242954613
Abia,2018/1/1,ipt2_cov,0.169682587
Abia,2018/2/1,ipt1_cov,0.202489837
Abia,2018/2/1,ipt2_cov,0.183053862
Abia,2018/3/1,ipt1_cov,0.21066444
Abia,2018/3/1,ipt2_cov,0.173207682
Abia,2018/4/1,ipt1_cov,0.218915484
Abia,2018/4/1,ipt2_cov,0.175280661
Abia,2018/5/1,ipt1_cov,0.194526192
Abia,2018/5/1,ipt2_cov,0.164214244
Abia,2018/6/1,ipt1_cov,0.235218509
Abia,2018/6/1,ipt2_cov,0.18688946
Abia,2018/7/1,ipt1_cov,0.29978439
Abia,2018/7/1,ipt2_cov,0.235877533
Abia,2018/8/1,ipt1_cov,0.246956522
Abia,2018/8/1,ipt2_cov,0.217257525
