adm1,year,month,rainfall,date
Kaduna,2014,1,1.164941072,2014/1/1
Kwara,2014,1,7.439771323,2014/1/1
Sokoto,2014,1,0.004563414,2014/1/1
Akwa Ibom,2014,1,31.15578006,2014/1/1
Ebonyi,2014,1,11.04241679,2014/1/1
Ekiti,2014,1,16.7933088,2014/1/1
Kano,2014,1,0.305641674,2014/1/1
Katsina,2014,1,0.086600252,2014/1/1
Delta,2014,1,39.53748687,2014/1/1
Enugu,2014,1,12.20605254,2014/1/1
Edo,2014,1,27.52174914,2014/1/1
Oyo,2014,1,15.8158446,2014/1/1
Gombe,2014,1,0.262222036,2014/1/1
Rivers,2014,1,48.70567788,2014/1/1
Cross River,2014,1,14.09436397,2014/1/1
Ondo,2014,1,24.50157514,2014/1/1
Abia,2014,1,26.77505092,2014/1/1
Bayelsa,2014,1,67.97704814,2014/1/1
Lagos,2014,1,38.92909062,2014/1/1
Bauchi,2014,1,0.483909855,2014/1/1
Kebbi,2014,1,0.129979036,2014/1/1
Plateau,2014,1,1.367786015,2014/1/1
Nasarawa,2014,1,3.190391225,2014/1/1
Ogun,2014,1,35.38586857,2014/1/1
Anambra,2014,1,20.96898187,2014/1/1
Zamfara,2014,1,0.066872713,2014/1/1
Osun,2014,1,24.13318413,2014/1/1
Yobe,2014,1,0.016245412,2014/1/1
Benue,2014,1,6.480052985,2014/1/1
Niger,2014,1,1.548570332,2014/1/1
Kogi,2014,1,7.331932711,2014/1/1
Imo,2014,1,26.06382362,2014/1/1
Adamawa,2014,1,0.572423344,2014/1/1
Jigawa,2014,1,0.081744639,2014/1/1
Taraba,2014,1,2.492484611,2014/1/1
Federal Capital Territory,2014,1,2.984005565,2014/1/1
Borno,2014,1,0.017771848,2014/1/1
Kaduna,2014,2,1.715946219,2014/2/1
Kwara,2014,2,6.151976498,2014/2/1
Sokoto,2014,2,0.04823678,2014/2/1
Akwa Ibom,2014,2,44.43693796,2014/2/1
Ebonyi,2014,2,24.48257557,2014/2/1
Ekiti,2014,2,20.1787768,2014/2/1
Kano,2014,2,0.660175346,2014/2/1
Katsina,2014,2,0.273867919,2014/2/1
Delta,2014,2,38.68309048,2014/2/1
Enugu,2014,2,15.7616704,2014/2/1
Edo,2014,2,24.91765925,2014/2/1
Oyo,2014,2,14.32655276,2014/2/1
Gombe,2014,2,0.59286978,2014/2/1
Rivers,2014,2,56.1976149,2014/2/1
Cross River,2014,2,30.6051415,2014/2/1
Ondo,2014,2,36.27707453,2014/2/1
Abia,2014,2,38.96527611,2014/2/1
Bayelsa,2014,2,64.10902785,2014/2/1
Lagos,2014,2,47.14930455,2014/2/1
Bauchi,2014,2,1.034600343,2014/2/1
Kebbi,2014,2,0.444872536,2014/2/1
Plateau,2014,2,1.69056803,2014/2/1
Nasarawa,2014,2,4.526791638,2014/2/1
Ogun,2014,2,37.41501313,2014/2/1
Anambra,2014,2,19.15771292,2014/2/1
Zamfara,2014,2,0.376587492,2014/2/1
Osun,2014,2,26.13171396,2014/2/1
Yobe,2014,2,0.049403304,2014/2/1
Benue,2014,2,7.51478558,2014/2/1
Niger,2014,2,1.702625776,2014/2/1
Kogi,2014,2,9.321760884,2014/2/1
Imo,2014,2,33.49937254,2014/2/1
Adamawa,2014,2,0.834858699,2014/2/1
Jigawa,2014,2,0.218632387,2014/2/1
Taraba,2014,2,3.538980267,2014/2/1
Federal Capital Territory,2014,2,5.234322094,2014/2/1
Borno,2014,2,0.061430704,2014/2/1
Kaduna,2014,3,20.25643815,2014/3/1
Kwara,2014,3,65.64985342,2014/3/1
Sokoto,2014,3,0.873634612,2014/3/1
Akwa Ibom,2014,3,180.4053807,2014/3/1
Ebonyi,2014,3,110.9536907,2014/3/1
Ekiti,2014,3,95.31882108,2014/3/1
Kano,2014,3,3.685601367,2014/3/1
Katsina,2014,3,2.502082597,2014/3/1
Delta,2014,3,145.3188201,2014/3/1
Enugu,2014,3,68.45505138,2014/3/1
Edo,2014,3,109.7039471,2014/3/1
Oyo,2014,3,99.0387366,2014/3/1
Gombe,2014,3,5.361552121,2014/3/1
Rivers,2014,3,152.3051807,2014/3/1
Cross River,2014,3,162.3590682,2014/3/1
Ondo,2014,3,119.5839691,2014/3/1
Abia,2014,3,146.3445005,2014/3/1
Bayelsa,2014,3,167.0533693,2014/3/1
Lagos,2014,3,104.2918953,2014/3/1
Bauchi,2014,3,8.661244586,2014/3/1
Kebbi,2014,3,5.004819843,2014/3/1
Plateau,2014,3,34.3454974,2014/3/1
Nasarawa,2014,3,45.08070129,2014/3/1
Ogun,2014,3,108.1176939,2014/3/1
Anambra,2014,3,75.71586013,2014/3/1
