adm1,year,name,value
Abia,2013,smc1_num,0
Abia,2013,smc2_num,0
Abia,2013,smc3_num,0
Abia,2013,smc4_num,0
Abia,2014,smc1_num,0
Abia,2014,smc2_num,0
Abia,2014,smc3_num,0
Abia,2014,smc4_num,0
Abia,2015,smc1_num,0
Abia,2015,smc2_num,0
Abia,2015,smc3_num,0
Abia,2015,smc4_num,0
Abia,2016,smc1_num,0
Abia,2016,smc2_num,0
Abia,2016,smc3_num,0
Abia,2016,smc4_num,0
Abia,2017,smc1_num,0
Abia,2017,smc2_num,0
Abia,2017,smc3_num,0
Abia,2017,smc4_num,0
Abia,2018,smc1_num,0
Abia,2018,smc2_num,0
Abia,2018,smc3_num,0
Abia,2018,smc4_num,0
Abia,2019,smc1_num,0
Abia,2019,smc2_num,0
Abia,2019,smc3_num,0
Abia,2019,smc4_num,0
Adamawa,2013,smc1_num,0
Adamawa,2013,smc2_num,0
Adamawa,2013,smc3_num,0
Adamawa,2013,smc4_num,0
Adamawa,2014,smc1_num,0
Adamawa,2014,smc2_num,0
Adamawa,2014,smc3_num,0
Adamawa,2014,smc4_num,0
Adamawa,2015,smc1_num,0
Adamawa,2015,smc2_num,0
Adamawa,2015,smc3_num,0
Adamawa,2015,smc4_num,0
Adamawa,2016,smc1_num,0
Adamawa,2016,smc2_num,0
Adamawa,2016,smc3_num,0
Adamawa,2016,smc4_num,0
Adamawa,2017,smc1_num,0
Adamawa,2017,smc2_num,0
Adamawa,2017,smc3_num,0
Adamawa,2017,smc4_num,0
Adamawa,2018,smc1_num,117019
Adamawa,2018,smc2_num,117749
Adamawa,2018,smc3_num,119604
Adamawa,2018,smc4_num,1
Adamawa,2019,smc1_num,0
Adamawa,2019,smc2_num,0
Adamawa,2019,smc3_num,0
Adamawa,2019,smc4_num,0
Adamawa,2021,smc1_num,968018
Adamawa,2021,smc2_num,942764
Adamawa,2021,smc3_num,949928
Adamawa,2021,smc4_num,961746
Akwa Ibom,2013,smc1_num,0
Akwa Ibom,2013,smc2_num,0
Akwa Ibom,2013,smc3_num,0
Akwa Ibom,2013,smc4_num,0
Akwa Ibom,2014,smc1_num,0
Akwa Ibom,2014,smc2_num,0
Akwa Ibom,2014,smc3_num,0
Akwa Ibom,2014,smc4_num,0
Akwa Ibom,2015,smc1_num,0
Akwa Ibom,2015,smc2_num,0
Akwa Ibom,2015,smc3_num,0
Akwa Ibom,2015,smc4_num,0
Akwa Ibom,2016,smc1_num,0
Akwa Ibom,2016,smc2_num,0
Akwa Ibom,2016,smc3_num,0
Akwa Ibom,2016,smc4_num,0
Akwa Ibom,2017,smc1_num,0
Akwa Ibom,2017,smc2_num,0
Akwa Ibom,2017,smc3_num,0
Akwa Ibom,2017,smc4_num,0
Akwa Ibom,2018,smc1_num,0
Akwa Ibom,2018,smc2_num,0
Akwa Ibom,2018,smc3_num,0
Akwa Ibom,2018,smc4_num,0
