adm1,year_previous_itn_campaign ,year_most_recent_itn_campaign 
Abia ,2012,2015
Adamawa ,2017,2021
Akwa Ibom ,2014,2018
Anambra ,2014,2021
Bauchi ,2014,2018
Bayelsa ,2011,2011
Benue ,2016,2020
Borno ,2011,2011
Cross River ,2015,2019
Delta ,2013,2019
Ebonyi ,2015,2019
Edo ,2012,2017
Ekiti ,2009,2014
Enugu ,2011,2011
Federal Capital Territory,2011,2011
Gombe ,2018,2021
Imo ,2012,2017
Jigawa ,2018,2021
Kaduna ,2015,2019
Kano ,2015,2019
Katsina ,2015,2022
Kebbi ,2015,2018
Kogi ,2013,2017
Kwara ,2017,2020
Lagos ,2011,2011
Nasarawa ,2018,2022
Niger ,2014,2019
Ogun ,2014,2018
Ondo ,2017,2021
Osun ,2013,2020
Oyo ,2016,2021
Plateau ,2015,2020
Rivers ,2014,2014
Sokoto ,2013,2017
Taraba ,2011,2019
Yobe ,2011,2019
Zamfara ,2015,2020
